Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, GIN, 51314, Vanilla, 24, 0.690000, 0.5535, 0.850000, 0.3893, cpu, 259.15
IMDB-BINARY, GIN, 51314, G-Mixup, 43, 0.715000, 0.7260, 0.840000, 0.4988, cpu, 397.64
IMDB-BINARY, GIN, 51314, Subgraph, 43, 0.710000, 0.6926, 0.830000, 0.5116, cpu, 106.51
IMDB-BINARY, GIN, 51314, DropEdge, 19, 0.755000, 0.5848, 0.810000, 0.5961, cpu, 162.28
IMDB-BINARY, GIN, 51314, DropNode, 24, 0.690000, 0.5998, 0.810000, 0.4491, cpu, 113.12
IMDB-BINARY, GIN, 61314, Vanilla, 70, 0.745000, 0.6360, 0.770000, 0.6282, cpu, 309.66
IMDB-BINARY, GIN, 61314, G-Mixup, 141, 0.655000, 1.0394, 0.800000, 0.6166, cpu, 375.69
IMDB-BINARY, GIN, 61314, Subgraph, 15, 0.750000, 0.5005, 0.750000, 0.5274, cpu, 136.17
IMDB-BINARY, GIN, 61314, DropEdge, 13, 0.750000, 0.6227, 0.760000, 0.6002, cpu, 191.63
IMDB-BINARY, GIN, 61314, DropNode, 17, 0.735000, 0.5378, 0.750000, 0.6091, cpu, 133.56
IMDB-BINARY, GIN, 71314, Vanilla, 25, 0.765000, 0.5313, 0.770000, 0.6174, cpu, 341.71
IMDB-BINARY, GIN, 71314, G-Mixup, 157, 0.765000, 0.8926, 0.770000, 0.6253, cpu, 399.77
IMDB-BINARY, GIN, 71314, Subgraph, 65, 0.710000, 3.7730, 0.750000, 4.5854, cpu, 122.60
IMDB-BINARY, GIN, 71314, DropEdge, 6, 0.715000, 0.5184, 0.730000, 0.5752, cpu, 168.64
IMDB-BINARY, GIN, 71314, DropNode, 26, 0.705000, 0.5843, 0.750000, 0.6163, cpu, 117.54
IMDB-BINARY, GIN, 0, Vanilla, 44, 0.740000, 0.8085, 0.830000, 0.6633, cpu, 309.82
IMDB-BINARY, GIN, 0, G-Mixup, 107, 0.660000, 0.7833, 0.800000, 0.6163, cpu, 329.43
IMDB-BINARY, GIN, 0, Subgraph, 4, 0.660000, 0.5897, 0.780000, 0.4696, cpu, 106.43
IMDB-BINARY, GIN, 0, DropEdge, 54, 0.705000, 0.7251, 0.800000, 0.5819, cpu, 177.22
IMDB-BINARY, GIN, 0, DropNode, 73, 0.705000, 1.0988, 0.810000, 0.6901, cpu, 122.68
IMDB-BINARY, GIN, 546464, Vanilla, 107, 0.680000, 0.9548, 0.790000, 0.6474, cpu, 326.51
IMDB-BINARY, GIN, 546464, G-Mixup, 38, 0.700000, 0.6368, 0.770000, 0.5973, cpu, 341.29
IMDB-BINARY, GIN, 546464, Subgraph, 38, 0.665000, 0.8609, 0.790000, 0.6188, cpu, 84.12
IMDB-BINARY, GIN, 546464, DropEdge, 7, 0.730000, 0.6222, 0.790000, 0.6587, cpu, 133.02
IMDB-BINARY, GIN, 546464, DropNode, 46, 0.680000, 0.8033, 0.790000, 0.5452, cpu, 103.78
IMDB-BINARY, MinCutPool, 1314, Vanilla, 1, 0.680000, 0.6506, 0.700000, 0.6391, cpu, 142.37
IMDB-BINARY, MinCutPool, 1314, G-Mixup, 5, 0.690000, 0.5673, 0.720000, 0.5907, cpu, 173.79
IMDB-BINARY, MinCutPool, 1314, Subgraph, 1, 0.675000, 0.7013, 0.700000, 0.6841, cpu, 62.55
IMDB-BINARY, MinCutPool, 1314, DropEdge, 15, 0.715000, 0.4988, 0.700000, 0.5988, cpu, 97.82
IMDB-BINARY, MinCutPool, 1314, DropNode, 1, 0.685000, 0.5901, 0.720000, 0.5945, cpu, 68.02
IMDB-BINARY, MinCutPool, 11314, Vanilla, 57, 0.745000, 0.5974, 0.770000, 0.7009, cpu, 141.35
IMDB-BINARY, MinCutPool, 11314, G-Mixup, 16, 0.740000, 0.5493, 0.760000, 0.5795, cpu, 168.80
IMDB-BINARY, MinCutPool, 11314, Subgraph, 4, 0.680000, 0.5367, 0.730000, 0.5743, cpu, 63.12
IMDB-BINARY, MinCutPool, 11314, DropEdge, 5, 0.690000, 0.5232, 0.740000, 0.5610, cpu, 96.97
IMDB-BINARY, MinCutPool, 11314, DropNode, 4, 0.675000, 0.5351, 0.740000, 0.5815, cpu, 66.48
IMDB-BINARY, MinCutPool, 21314, Vanilla, 27, 0.710000, 0.5150, 0.800000, 0.4355, cpu, 136.49
IMDB-BINARY, MinCutPool, 21314, G-Mixup, 102, 0.725000, 0.7286, 0.820000, 0.6063, cpu, 166.68
IMDB-BINARY, MinCutPool, 21314, Subgraph, 15, 0.720000, 0.5808, 0.780000, 0.4374, cpu, 65.34
IMDB-BINARY, MinCutPool, 21314, DropEdge, 19, 0.715000, 0.5259, 0.800000, 0.4235, cpu, 96.11
IMDB-BINARY, MinCutPool, 21314, DropNode, 12, 0.690000, 0.6187, 0.800000, 0.4759, cpu, 93.48
IMDB-BINARY, MinCutPool, 31314, Vanilla, 10, 0.695000, 0.5477, 0.780000, 0.4352, cpu, 216.43
IMDB-BINARY, MinCutPool, 31314, G-Mixup, 17, 0.720000, 0.5202, 0.780000, 0.5066, cpu, 209.00
IMDB-BINARY, MinCutPool, 31314, Subgraph, 5, 0.720000, 0.5034, 0.790000, 0.4360, cpu, 84.06
IMDB-BINARY, MinCutPool, 31314, DropEdge, 15, 0.680000, 0.6907, 0.820000, 0.4833, cpu, 130.40
IMDB-BINARY, MinCutPool, 31314, DropNode, 9, 0.730000, 0.5247, 0.820000, 0.4401, cpu, 84.88
